study_id	genes	source_url	title	year	review_scope	model	intervention	outcome	metabolite_readout	limits	evidence_class	intervention_direction	web_ref	novelty_note	bibliography_note	publication_integrity_note	new_patient_or_experimental_data	is_legacy_only	source_publication_key	same_study_group
S103	SLC7A11	https://pubmed.ncbi.nlm.nih.gov/30799686/	xCT knockdown in human breast cancer cells delays onset of cancer-induced bone pain	2019	PRIMARY_ABSTRACT_AND_FIGURE_CAPTIONS	MDA-MB-231稳定克隆、股骨接种小鼠	xCT/SLC7A11 siRNA稳定敲低	推迟疼痛行为；RNA-seq记录反应	胱氨酸摄取和谷氨酸释放均降低	疼痛终点不是证明缩瘤；公开扰动转录组可作为后续资源	GENETIC_BRCA	待解释	turn723597search5		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/30799686	https://pubmed.ncbi.nlm.nih.gov/30799686
S104	SOAT1	https://pubmed.ncbi.nlm.nih.gov/40665359/	Fibroblast growth factor receptor signaling modulates cholesterol storage in a SOAT1-dependent manner to promote mammary tumor cell invasion	2025	PRIMARY_ABSTRACT	FGFR驱动乳腺癌模型	SOAT1抑制及基因敲低	克隆/侵袭降低；体内肿瘤生长减少	胆固醇储存改变	限定FGFR背景；不能直接代表CAMP全部BRCA	GENETIC_BRCA	待解释	turn723597search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/40665359	https://pubmed.ncbi.nlm.nih.gov/40665359
S105	SOAT1	https://doi.org/10.1002/VIW.20240083	SOAT1 exacerbates tumor progression by promoting YAP signaling activation and attenuating endoplasmic reticulum stress	2025	PRIMARY_RESULTS_TEXT_EXCERPT	MDA-MB-231、BT549及乳腺癌异种移植	shSOAT1及avasimibe	增殖/迁移下降、周期阻滞、体内生长下降	胆固醇稳态、YAP/ER应激	基因与药物证据分开；ER应激不是雌激素受体ER	GENETIC_BRCA	待解释	turn723597search3		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://doi.org/10.1002/VIW.20240083	https://doi.org/10.1002/VIW.20240083
S106	SPHK1	https://aacrjournals.org/cancerres/article/79/16/4211/638205/Sphingosine-Kinase-1-Signaling-Promotes-Metastasis	Sphingosine Kinase 1 Signaling Promotes Metastasis of Triple-Negative Breast Cancer	2019	PRIMARY_RESULTS_TEXT_EXCERPT	BC3-p53KD PDX、Hs578T及文中MDA-MB-435；原位模型	两条shRNA、过表达；药物另评	敲低减少自发肺转移/迁移侵袭；所测三系体外增殖无显著改变	S1P下降	MDA-MB-435身份/谱系需独立核查；不依赖此系单独作BRCA结论；不能称普遍抗增殖	GENETIC_BRCA	待解释	turn770153search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://aacrjournals.org/cancerres/article/79/16/4211/638205/Sphingosine-Kinase-1-Signaling-Promotes-Metastasis	https://aacrjournals.org/cancerres/article/79/16/4211/638205/Sphingosine-Kinase-1-Signaling-Promotes-Metastasis
S107	SPHK1	https://pubmed.ncbi.nlm.nih.gov/32260399/	Sphingosine Kinase 1 Regulates the Survival of Breast Cancer Stem Cells and Non-stem Breast Cancer Cells by Suppression of STAT1	2020	PRIMARY_ABSTRACT_AND_FIGURE_CAPTIONS	HCC38、MDA-MB-468干样/非干样细胞；MCF7等表达背景	独立shRNA、过表达；FTY720/PF543另列	敲低增殖下降/凋亡上升；过表达提高球形成	S1P分泌/STAT1	与2019增殖无效结果不同，可能与模型/培养条件有关	GENETIC_BRCA	待解释	turn770153search3		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/32260399	https://pubmed.ncbi.nlm.nih.gov/32260399
S108	SPHK2	https://aacrjournals.org/cancerres/article/83/4/553/716438/Sphingosine-Kinase-2-in-Stromal-Fibroblasts	Sphingosine Kinase 2 in Stromal Fibroblasts Creates a Hospitable Tumor Microenvironment in Breast Cancer	2023	PRIMARY_ABSTRACT_AND_SUPPLEMENT_EXCERPT	基质成纤维细胞及E0771乳腺癌小鼠	宿主SphK2删除/抑制	抑制促肿瘤CAF状态及肿瘤生长	p53相关；CAMP鞘氨醇介导未明	宿主/基质效应，不是肿瘤细胞单培养依赖	GENETIC_BRCA	待解释	turn770153search5		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://aacrjournals.org/cancerres/article/83/4/553/716438/Sphingosine-Kinase-2-in-Stromal-Fibroblasts	https://aacrjournals.org/cancerres/article/83/4/553/716438/Sphingosine-Kinase-2-in-Stromal-Fibroblasts
S109	SPHK2	https://pubmed.ncbi.nlm.nih.gov/17974990/	Involvement of sphingosine kinase 2 in p53-independent induction of p21 by doxorubicin	2007	PRIMARY_ABSTRACT	MCF7及p53失活MCF7；另有HCT116非BRCA	SPHK2 siRNA，多柔比星背景	p21与G2/M阻滞下降，但药物诱导凋亡增强	未核实CAMP鞘氨醇变化	细胞静止和凋亡不是同一终点；HCT116不是乳腺癌	GENETIC_BRCA	待解释	turn770153search11		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/17974990	https://pubmed.ncbi.nlm.nih.gov/17974990
S110	SQLE	https://pubmed.ncbi.nlm.nih.gov/29765154/	The cancer-associated microprotein CASIMO1 controls cell proliferation and interacts with squalene epoxidase	2018	PRIMARY_ABSTRACT	乳腺癌细胞，具体系待全文核定	SQLE敲低及SQLE过表达救援CASIMO1敲低	SQLE敲低模拟生长抑制，回补逆转	脂滴/脂质稳态	未证明CAMP角鲨烯丰度介导	GENETIC_BRCA	待解释	turn770153search0		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/29765154	https://pubmed.ncbi.nlm.nih.gov/29765154
S111	SQLE	https://www.nature.com/articles/srep19435	Squalene epoxidase as a breast cancer-associated metabolic target	2016	LEGACY_CURATED_PRIMARY_NOT_FULLY_REREAD_THIS_PASS	SQLE表达阳性乳腺癌系；MDA-MB-231低表达阴性背景	SQLE沉默及药物	表达阳性模型生长受抑，低表达背景不出现同样效应	角鲨烯测量本轮未重核	保留旧版原始文献核查限定；不声称本轮全文重读	GENETIC_BRCA	待解释	legacy v1	保留成熟SQLE研究作参照，不当新靶点	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	True	https://www.nature.com/articles/srep19435	https://www.nature.com/articles/srep19435
S112	TAT	https://www.mdpi.com/2218-273X/14/9/1088	Identification of TAT as a Biomarker Involved in Cell Cycle and DNA Repair in Breast Cancer	2024	PRIMARY_ABSTRACT_AND_CONCLUSION_EXCERPT	乳腺癌/TNBC细胞背景	DNMT3A/3B调节及diazinon处理	TAT上调伴生长抑制，周期/DNA修复改变	未核实酪氨酸/4-HPP介导	需确认TAT独立构建；diazinon为有毒化学物不可当临床推荐；原文亦承认验证不足	PATHWAY_CONTEXT_BRCA	待解释	turn696627search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.mdpi.com/2218-273X/14/9/1088	https://www.mdpi.com/2218-273X/14/9/1088
S113	UPP1	https://pubmed.ncbi.nlm.nih.gov/40702342/	Uridine phosphorylase-1 supports metastasis by altering immune and extracellular matrix landscapes	2025	PRIMARY_ABSTRACT	乳腺肿瘤小鼠、中性粒细胞、肺转移前微环境；另有患者样本	UPP1敲除/抑制	肺T细胞增加、纤维连接蛋白减少、肺转移发生比例降低	尿嘧啶直接测量与细胞外基质作用	主要来源中性粒细胞；bulk癌组织RNA不必强相关；无新CAMP因果验证	GENETIC_BRCA	待解释	turn696627search3	直接尿嘧啶—UPP1转移机制已于2025发表；优先补细胞背景，不宣称首创	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/40702342	https://pubmed.ncbi.nlm.nih.gov/40702342
S114	GOT1; GOT2	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069/	Targeting Glutamine Metabolism in Breast Cancer with Aminooxyacetate	2015	PRIMARY_RESULTS_TEXT	SUM149中单独/联合siRNA；药物实验另包括SUM159、MCF-7、MDA-MB-231及小鼠模型	GOT1/GOT2单独或联合敲低；AOA为另行评估的广谱转氨酶抑制剂	敲低影响SUM149增殖，并部分逆转AOA细胞毒性；存在酶间代偿；药物在部分移植瘤有效	AOA降低天冬氨酸/丙氨酸；该代谢读数不能自动归因于某一单基因敲低	AOA不特异；MDA-MB-231体内单药未显示同等效果，较高剂量有毒性；不把AOA全部结果算给GOT1或GOT2	GENETIC_BRCA	待解释	turn644320search2	已有乳腺癌谷氨酰胺研究；增量应是模型或区室差异而非再次宣称首次靶点。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069
S115	GPCPD1	https://link.springer.com/article/10.1186/s13046-022-02578-w	Inhibiting the glycerophosphodiesterase EDI3 in ER-HER2+ breast cancer cells resistant to HER2-targeted therapy reduces viability and tumour growth	2023	PRIMARY_METHODS_RESULTS_TEXT	ER阴性/HER2阳性HCC1954等；包括HER2治疗耐受背景	siRNA及诱导shRNA；双嘧达莫药物单独区分	遗传抑制降低细胞存活/克隆及相应模型肿瘤生长	酶活及胆碱代谢读数被测量；未证明CAMP中GPC丰度关联介导全部表型	特定亚型；药物不具EDI3专一性；与2024研究存在模型/作者关联，不算独立临床复现	GENETIC_BRCA	待解释	turn378032search1	GPCPD1乳腺癌干预已经较深入，适合作为参照；必须另提亚型或代谢介导问题。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://link.springer.com/article/10.1186/s13046-022-02578-w	https://link.springer.com/article/10.1186/s13046-022-02578-w
S116	PGM3	https://pubmed.ncbi.nlm.nih.gov/29515119/	Inhibition of the Hexosamine Biosynthetic Pathway by targeting PGM3 causes breast cancer growth arrest and apoptosis	2018	PRIMARY_ABSTRACT_AND_FIGURE_LEGENDS	MDA-MB-231等乳腺癌细胞；MDA-MB-231裸鼠移植瘤	FR054药物；shPGM3增加FR054敏感性；CETSA辅助靶点结合	FR054抑制生长并诱导凋亡、降低黏附/迁移；shPGM3药敏结果不能改写成单独基因敲除已完成肿瘤控制	UDP-GlcNAc和蛋白糖基化下降；FR054需要代谢激活	部分体外浓度0.5–1mM；药物主导，非全基因敲除机制；临床特异性/安全性未证实	DRUG_GENETIC_ON_TARGET_BRCA	待解释	turn644320view2	旧研究已存在，值得区别药物激活与真正基因依赖。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/29515119	PGM3_FR054_2018
S117	NAGK	https://pubmed.ncbi.nlm.nih.gov/29515119/	FR054 prodrug activation / NAGK inhibitor context in PGM3 study	2018	PRIMARY_FIGURE_LEGENDS	MDA-MB-231	NAGK抑制剂与FR054联用	NAGK抑制减弱FR054诱导凋亡；不是NAGK抑制本身已证实抗肿瘤	参与前药激活的补救合成背景	未见本轮核查内容中NAGK独立基因敲低效应；不能误把拮抗FR054当作抗癌支持	DRUG_CONTEXT_BRCA_COUNTEREVIDENCE	待解释	turn644320view2	明确区分代谢酶与前药活化需求。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/29515119	PGM3_FR054_2018
S118	MPI	https://pmc.ncbi.nlm.nih.gov/articles/PMC12934312/	Mannose metabolic pathway senses glucose supply and regulates cell fate decisions	2026	PRIMARY_RESULTS_TEXT	包含MPI-KO MDA-MB-231；主机制还使用HT1080等非乳腺癌模型	MPI基因敲除后分别限制甘露糖或葡萄糖	MDA-MB-231等MPI-KO细胞在甘露糖剥夺下仍耐受；葡萄糖剥夺效应依模型不同	N-糖基化/甘露糖通路改变；详细多糖实验主要在HT1080	不能把HT1080全部结果外推到乳腺癌；不是MPI敲除对所有条件都无效，更不是普适抗肿瘤证据	GENETIC_BRCA_COUNTEREVIDENCE	待解释	turn736669search1	营养情境决定细胞结局，不能简单将代谢改变等同细胞死亡。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pmc.ncbi.nlm.nih.gov/articles/PMC12934312	https://pmc.ncbi.nlm.nih.gov/articles/PMC12934312
S119	GSS	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202500722	Paracrine Orchestration of Tumor Microenvironment Remodeling Induced by GLO1 Potentiates Lymph Node Metastasis in Breast Cancer	2025	PRIMARY_RESULTS_SECTION_2_12	乳腺癌细胞；本次提取段落未逐一确认该子实验细胞系	GLO1过表达背景中耗减GSS	GSS耗减逆转GLO1导致的VEGFA蛋白增加；GLO1稳定GSS	GLO1改变GSH/GSSG；未单独证实GSS介导本研究所有转移表型	部分原文GSH/GSS术语需核清；这里只记分子互作/挽救，不认定GSS独立生长或转移因果	GENETIC_MOLECULAR_BRCA	待解释	turn736669search5	主轴为GLO1，需将GSS子实验与全论文肿瘤表型分开。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202500722	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202500722
S120	GSR	https://pmc.ncbi.nlm.nih.gov/articles/PMC8275107/	Stattic / glutathione reductase intervention in cervical cancer	2021	PRIMARY_SEARCH_RESULT_SCOPE_CHECK	宫颈癌模型，非乳腺癌GSR干预	Stattic和GSR相关实验	不作为本轮乳腺癌功能支持	未核实乳腺癌对应代谢读数	乳腺癌出现在背景/药物介绍不能当乳腺癌GSR遗传证据	OTHER_CANCER_ONLY	待解释	turn931244search8	避免搜索命中跨癌移植。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pmc.ncbi.nlm.nih.gov/articles/PMC8275107	https://pmc.ncbi.nlm.nih.gov/articles/PMC8275107
S121	SORD	https://pmc.ncbi.nlm.nih.gov/articles/PMC12552132/	Legacy SORD colorectal-cancer intervention lead	2025	LEGACY_SOURCE_SCOPE_RETAINED_NOT_REREAD	结直肠癌，非乳腺癌	旧表记录直接干预，未在本轮重新读取全文	保留跨癌线索；不作为乳腺癌直接功能支持	乳腺癌CAMP果糖关联具有可用性敏感限制	研究对象不适用本轮BRCA功能确认	OTHER_CANCER_ONLY	待解释		既有107个非优先基因一样保留，SORD不因缺乳腺实验直接判无作用。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	True	https://pmc.ncbi.nlm.nih.gov/articles/PMC12552132	https://pmc.ncbi.nlm.nih.gov/articles/PMC12552132
S122	RFK	https://www.researchsquare.com/article/rs-7709970/v1	Targeting Riboflavin Kinase Induces Ferroptosis and Apoptosis in Triple-Negative Breast Cancer	2025	PRIMARY_ACCESS_BLOCKED_PREPRINT_LEAD_ONLY	题名指TNBC；未以一手全文核定具体模型	待一手预印本核查，不能由聚合摘要直接确证	仅登记相关预印本线索，不计入已核实遗传功能支持	未以可访问一手原文核定	预印本、非同行评议确认；本轮一手页面访问失败；不升级为已验证功能	PREPRINT_ACCESS_BLOCKED	待解释		优先取得一手全文及发表状态后再决定，不能凭代谢建模候选排名直接纳入确认。	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.researchsquare.com/article/rs-7709970/v1	https://www.researchsquare.com/article/rs-7709970/v1
